url,method,status,mimeType,domain,reason
https://salim.webprivacylab.com/google_server_side_tracker?v=2&tid=G-TEST123&cid=jizswqd772c&t=pageview&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&dr=&ua=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F147.0.0.0+Safari%2F537.36,GET,200,text/html,salim.webprivacylab.com,Present in HAR but missing in crawl + matches tracking heuristics
https://www.facebook.com/tr/?id=123997890&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778264145912&sw=1280&sh=720&v=2.9.313&r=stable&ec=0&o=28&it=1778264145606&coo=false&exp=s1&expv2[0]=pl0&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=ct1&expv2[6]=hf0&rqm=GET,GET,200,text/plain,www.facebook.com,Present in HAR but missing in crawl + matches tracking heuristics
https://www.facebook.com/privacy_sandbox/pixel/register/trigger/?id=123997890&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778264145912&sw=1280&sh=720&v=2.9.313&r=stable&ec=0&o=28&it=1778264145606&coo=false&exp=s1&expv2[0]=pl0&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=ct1&expv2[6]=hf0&rqm=FGET,GET,200,x-unknown,www.facebook.com,Present in HAR but missing in crawl + matches tracking heuristics
https://www.facebook.com/tr/?id=434567890&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778264146202&sw=1280&sh=720&v=2.9.313&r=stable&ec=0&o=28&it=1778264145606&coo=false&exp=s1&expv2[0]=pl0&expv2[1]=el2&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=ct1&expv2[6]=hf0&rqm=GET,GET,200,text/plain,www.facebook.com,Present in HAR but missing in crawl + matches tracking heuristics
https://www.facebook.com/privacy_sandbox/pixel/register/trigger/?id=434567890&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778264146202&sw=1280&sh=720&v=2.9.313&r=stable&ec=0&o=28&it=1778264145606&coo=false&exp=s1&expv2[0]=pl0&expv2[1]=el2&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=ct1&expv2[6]=hf0&rqm=FGET,GET,200,x-unknown,www.facebook.com,Present in HAR but missing in crawl + matches tracking heuristics
https://www.facebook.com/tr/?id=123456789&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778264146616&sw=1280&sh=720&v=2.9.313&r=stable&ec=0&o=28&it=1778264145606&coo=false&exp=s1&expv2[0]=pl0&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=ct1&expv2[6]=hf0&rqm=GET,GET,200,text/plain,www.facebook.com,Present in HAR but missing in crawl + matches tracking heuristics
https://www.facebook.com/privacy_sandbox/pixel/register/trigger/?id=123456789&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778264146616&sw=1280&sh=720&v=2.9.313&r=stable&ec=0&o=28&it=1778264145606&coo=false&exp=s1&expv2[0]=pl0&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=ct1&expv2[6]=hf0&rqm=FGET,GET,200,x-unknown,www.facebook.com,Present in HAR but missing in crawl + matches tracking heuristics
https://www.googletagmanager.com/gtm.js?id=GTM-N5P6T9S&gtm=4e6570h2,GET,200,application/javascript,www.googletagmanager.com,Present in HAR but missing in crawl + matches tracking heuristics
https://www.facebook.com/tr/?id=4444444444&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778264146908&sw=1280&sh=720&v=2.9.313&r=stable&ec=0&o=28&it=1778264145606&coo=false&exp=s1&expv2[0]=pl0&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=ct1&expv2[6]=hf0&rqm=GET,GET,200,text/plain,www.facebook.com,Present in HAR but missing in crawl + matches tracking heuristics
https://www.facebook.com/privacy_sandbox/pixel/register/trigger/?id=4444444444&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778264146908&sw=1280&sh=720&v=2.9.313&r=stable&ec=0&o=28&it=1778264145606&coo=false&exp=s1&expv2[0]=pl0&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=ct1&expv2[6]=hf0&rqm=FGET,GET,200,x-unknown,www.facebook.com,Present in HAR but missing in crawl + matches tracking heuristics
https://sb.scorecardresearch.com/b?c1=2&c2=3005403&cs_it=b1&cv=4.13.1%2B2508250908&ns__t=1778264147095&ns_c=UTF-8&cs_cfg=1001110&cs_fpit=c&cs_fpdm=*null&cs_fpdt=*null&c7=https%3A%2F%2Fsalim.webprivacylab.com%2F&c8=Web%20Privacy%20Lab&c9=,GET,302,x-unknown,sb.scorecardresearch.com,Present in HAR but missing in crawl + matches tracking heuristics
https://sb.scorecardresearch.com/b2?c1=2&c2=3005403&cs_it=b1&cv=4.13.1%2B2508250908&ns__t=1778264147095&ns_c=UTF-8&cs_cfg=1001110&cs_fpit=c&cs_fpdm=*null&cs_fpdt=*null&c7=https%3A%2F%2Fsalim.webprivacylab.com%2F&c8=Web%20Privacy%20Lab&c9=,GET,204,text/plain,sb.scorecardresearch.com,Present in HAR but missing in crawl + matches tracking heuristics
