tracker_a,tracker_b,shared_sites
www.google.com,googleads.g.doubleclick.net,25
www.google.com,www.googletagmanager.com,23
www.googletagmanager.com,www.google-analytics.com,21
www.googletagmanager.com,googleads.g.doubleclick.net,19
pixel.rubiconproject.com,ib.adnxs.com,16
cm.g.doubleclick.net,pixel.rubiconproject.com,16
cm.g.doubleclick.net,ib.adnxs.com,16
www.google.com,pixel.rubiconproject.com,15
www.google.com,cm.g.doubleclick.net,15
pixel.rubiconproject.com,dsum-sec.casalemedia.com,15
www.googletagmanager.com,stats.g.doubleclick.net,15
www.googletagmanager.com,www.google.com.pk,15
www.google.com,bat.bing.com,15
cm.g.doubleclick.net,dsum-sec.casalemedia.com,14
ib.adnxs.com,dsum-sec.casalemedia.com,14
www.google.com.pk,stats.g.doubleclick.net,14
www.google.com,ib.adnxs.com,14
cm.g.doubleclick.net,dpm.demdex.net,14
www.google.com,www.facebook.com,14
googleads.g.doubleclick.net,www.facebook.com,14
www.googletagmanager.com,analytics.google.com,14
www.googletagmanager.com,bat.bing.com,14
googleads.g.doubleclick.net,cm.g.doubleclick.net,13
www.google.com.pk,analytics.google.com,13
googleads.g.doubleclick.net,pixel.rubiconproject.com,13
www.clarity.ms,s.clarity.ms,13
stats.g.doubleclick.net,analytics.google.com,13
www.google.com,www.google.com.pk,13
www.google.com,www.google-analytics.com,13
www.google.com,dsum-sec.casalemedia.com,13
www.google.com,px.ads.linkedin.com,13
bat.bing.com,www.facebook.com,13
googleads.g.doubleclick.net,ib.adnxs.com,12
bat.bing.com,pixel.rubiconproject.com,12
ib.adnxs.com,dpm.demdex.net,12
www.google.com,stats.g.doubleclick.net,12
www.google.com,dpm.demdex.net,12
bat.bing.com,px.ads.linkedin.com,12
pixel.rubiconproject.com,dpm.demdex.net,12
www.googletagmanager.com,www.facebook.com,12
googleads.g.doubleclick.net,bat.bing.com,12
www.google.com,analytics.twitter.com,12
dpm.demdex.net,cm.everesttech.net,12
www.clarity.ms,scripts.clarity.ms,12
s.clarity.ms,scripts.clarity.ms,12
googleads.g.doubleclick.net,www.google.com.pk,12
dpm.demdex.net,dsum-sec.casalemedia.com,11
www.googletagmanager.com,connect.facebook.net,11
www.googletagmanager.com,cm.g.doubleclick.net,11
googleads.g.doubleclick.net,www.google-analytics.com,11
www.google.com,ad.doubleclick.net,11
www.clarity.ms,browser.events.data.microsoft.com,11
www.google.com,analytics.google.com,11
c.bing.com,www.clarity.ms,11
www.google.com,id.rlcdn.com,11
bat.bing.com,dsum-sec.casalemedia.com,11
googleads.g.doubleclick.net,dsum-sec.casalemedia.com,11
googleads.g.doubleclick.net,px.ads.linkedin.com,11
www.google-analytics.com,analytics.google.com,11
cm.g.doubleclick.net,c.bing.com,11
bat.bing.com,ib.adnxs.com,11
www.facebook.com,cm.g.doubleclick.net,11
bat.bing.com,cm.g.doubleclick.net,11
www.google.com,play.google.com,11
www.google.com,c.bing.com,11
cm.g.doubleclick.net,idsync.rlcdn.com,11
ib.adnxs.com,idsync.rlcdn.com,11
pixel.rubiconproject.com,px.ads.linkedin.com,11
pixel.rubiconproject.com,idsync.rlcdn.com,11
cm.g.doubleclick.net,sync.crwdcntrl.net,11
dsum-sec.casalemedia.com,px.ads.linkedin.com,10
c.bing.com,scripts.clarity.ms,10
www.google.com,idsync.rlcdn.com,10
www.google.com,cm.everesttech.net,10
dsum-sec.casalemedia.com,us-u.openx.net,10
dsum-sec.casalemedia.com,id.rlcdn.com,10
dsum-sec.casalemedia.com,jadserve.postrelease.com,10
www.google.com,sync.crwdcntrl.net,10
browser.events.data.microsoft.com,scripts.clarity.ms,10
s.clarity.ms,browser.events.data.microsoft.com,10
www.googletagmanager.com,px.ads.linkedin.com,10
dsum-sec.casalemedia.com,idsync.rlcdn.com,10
www.googletagmanager.com,pixel.rubiconproject.com,10
www.googletagmanager.com,ib.adnxs.com,10
c.bing.com,idsync.rlcdn.com,10
c.bing.com,browser.events.data.microsoft.com,10
c.bing.com,s.clarity.ms,10
googleads.g.doubleclick.net,analytics.google.com,10
ib.adnxs.com,sync.crwdcntrl.net,10
ib.adnxs.com,jadserve.postrelease.com,10
ib.adnxs.com,us-u.openx.net,10
dpm.demdex.net,c.bing.com,10
dpm.demdex.net,us-u.openx.net,10
dpm.demdex.net,sync.crwdcntrl.net,10
dpm.demdex.net,idsync.rlcdn.com,10
www.googletagmanager.com,ad.doubleclick.net,10
c.bing.com,dsum-sec.casalemedia.com,10
cm.g.doubleclick.net,analytics.twitter.com,10
ib.adnxs.com,c.bing.com,10
www.google-analytics.com,www.google.com.pk,10
www.google-analytics.com,stats.g.doubleclick.net,10
googleads.g.doubleclick.net,ad.doubleclick.net,10
pixel.rubiconproject.com,us-u.openx.net,10
googleads.g.doubleclick.net,stats.g.doubleclick.net,10
cm.g.doubleclick.net,cm.everesttech.net,10
cm.g.doubleclick.net,us-u.openx.net,10
cm.g.doubleclick.net,jadserve.postrelease.com,10
pixel.rubiconproject.com,sync.crwdcntrl.net,10
pixel.rubiconproject.com,id.rlcdn.com,10
pixel.rubiconproject.com,jadserve.postrelease.com,10
pixel.rubiconproject.com,c.bing.com,10
ib.adnxs.com,px.ads.linkedin.com,10
googleads.g.doubleclick.net,dpm.demdex.net,10
googleads.g.doubleclick.net,c.bing.com,10
www.facebook.com,connect.facebook.net,10
www.facebook.com,pixel.rubiconproject.com,10
www.facebook.com,px.ads.linkedin.com,10
cm.g.doubleclick.net,px.ads.linkedin.com,10
idsync.rlcdn.com,sync.crwdcntrl.net,10
jadserve.postrelease.com,us-u.openx.net,9
www.google.com,www.clarity.ms,9
www.google.com,connect.facebook.net,9
px.ads.linkedin.com,idsync.rlcdn.com,9
bat.bing.com,id.rlcdn.com,9
www.google.com,s.clarity.ms,9
www.google.com,scripts.clarity.ms,9
analytics.twitter.com,sync.crwdcntrl.net,9
dsum-sec.casalemedia.com,sync.crwdcntrl.net,9
c.bing.com,us-u.openx.net,9
c.bing.com,sync.crwdcntrl.net,9
bat.bing.com,c.bing.com,9
bat.bing.com,dpm.demdex.net,9
c.bing.com,jadserve.postrelease.com,9
www.googletagmanager.com,play.google.com,9
www.googletagmanager.com,dpm.demdex.net,9
www.googletagmanager.com,analytics.twitter.com,9
dsum-sec.casalemedia.com,browser.events.data.microsoft.com,9
dsum-sec.casalemedia.com,cm.everesttech.net,9
pixel.rubiconproject.com,browser.events.data.microsoft.com,9
cm.g.doubleclick.net,id.rlcdn.com,9
pixel.rubiconproject.com,cm.everesttech.net,9
idsync.rlcdn.com,jadserve.postrelease.com,9
dpm.demdex.net,analytics.twitter.com,9
sync.crwdcntrl.net,jadserve.postrelease.com,9
idsync.rlcdn.com,us-u.openx.net,9
pixel.rubiconproject.com,analytics.twitter.com,9
www.google-analytics.com,play.google.com,9
googleads.g.doubleclick.net,id.rlcdn.com,9
bat.bing.com,cm.everesttech.net,9
www.facebook.com,ib.adnxs.com,9
www.facebook.com,c.bing.com,9
www.facebook.com,dpm.demdex.net,9
www.facebook.com,dsum-sec.casalemedia.com,9
www.facebook.com,analytics.twitter.com,9
dpm.demdex.net,px.ads.linkedin.com,9
bat.bing.com,www.clarity.ms,9
dpm.demdex.net,jadserve.postrelease.com,9
bat.bing.com,analytics.twitter.com,9
googleads.g.doubleclick.net,idsync.rlcdn.com,9
googleads.g.doubleclick.net,sync.crwdcntrl.net,9
ib.adnxs.com,cm.everesttech.net,9
ib.adnxs.com,id.rlcdn.com,9
ib.adnxs.com,analytics.twitter.com,9
googleads.g.doubleclick.net,analytics.twitter.com,9
www.google.com,jadserve.postrelease.com,8
cm.everesttech.net,us-u.openx.net,8
analytics.twitter.com,idsync.rlcdn.com,8
www.google.com,us-u.openx.net,8
browser.events.data.microsoft.com,idsync.rlcdn.com,8
www.google.com,browser.events.data.microsoft.com,8
px.ads.linkedin.com,analytics.twitter.com,8
px.ads.linkedin.com,sync.crwdcntrl.net,8
analytics.twitter.com,cm.everesttech.net,8
px.ads.linkedin.com,id.rlcdn.com,8
bat.bing.com,browser.events.data.microsoft.com,8
bat.bing.com,scripts.clarity.ms,8
bat.bing.com,s.clarity.ms,8
c.bing.com,cm.everesttech.net,8
dsum-sec.casalemedia.com,s.clarity.ms,8
www.googletagmanager.com,dsum-sec.casalemedia.com,8
dsum-sec.casalemedia.com,scripts.clarity.ms,8
c.bing.com,px.ads.linkedin.com,8
www.facebook.com,www.clarity.ms,8
dsum-sec.casalemedia.com,analytics.twitter.com,8
dsum-sec.casalemedia.com,www.clarity.ms,8
googleads.g.doubleclick.net,s.clarity.ms,8
www.facebook.com,s.clarity.ms,8
ib.adnxs.com,browser.events.data.microsoft.com,8
www.facebook.com,cm.everesttech.net,8
www.facebook.com,scripts.clarity.ms,8
googleads.g.doubleclick.net,www.clarity.ms,8
googleads.g.doubleclick.net,cm.everesttech.net,8
googleads.g.doubleclick.net,scripts.clarity.ms,8
pixel.rubiconproject.com,s.clarity.ms,8
cm.g.doubleclick.net,browser.events.data.microsoft.com,8
pixel.rubiconproject.com,www.clarity.ms,8
pixel.rubiconproject.com,scripts.clarity.ms,8
cm.everesttech.net,sync.crwdcntrl.net,8
browser.events.data.microsoft.com,sync.crwdcntrl.net,8
browser.events.data.microsoft.com,jadserve.postrelease.com,8
cm.everesttech.net,idsync.rlcdn.com,8
sync.crwdcntrl.net,us-u.openx.net,8
idsync.rlcdn.com,id.rlcdn.com,7
id.rlcdn.com,jadserve.postrelease.com,7
sync.crwdcntrl.net,id.rlcdn.com,7
scripts.clarity.ms,us-u.openx.net,7
scripts.clarity.ms,cm.everesttech.net,7
browser.events.data.microsoft.com,us-u.openx.net,7
browser.events.data.microsoft.com,id.rlcdn.com,7
bat.bing.com,idsync.rlcdn.com,7
bat.bing.com,connect.facebook.net,7
scripts.clarity.ms,jadserve.postrelease.com,7
cm.g.doubleclick.net,s.clarity.ms,7
cm.g.doubleclick.net,ad.doubleclick.net,7
cm.g.doubleclick.net,scripts.clarity.ms,7
scripts.clarity.ms,sync.crwdcntrl.net,7
scripts.clarity.ms,idsync.rlcdn.com,7
dpm.demdex.net,scripts.clarity.ms,7
dpm.demdex.net,id.rlcdn.com,7
dpm.demdex.net,www.clarity.ms,7
dpm.demdex.net,s.clarity.ms,7
dpm.demdex.net,browser.events.data.microsoft.com,7
ib.adnxs.com,ad.doubleclick.net,7
googleads.g.doubleclick.net,connect.facebook.net,7
googleads.g.doubleclick.net,browser.events.data.microsoft.com,7
ib.adnxs.com,scripts.clarity.ms,7
ib.adnxs.com,s.clarity.ms,7
ib.adnxs.com,www.clarity.ms,7
www.facebook.com,sync.crwdcntrl.net,7
www.facebook.com,idsync.rlcdn.com,7
www.facebook.com,browser.events.data.microsoft.com,7
cm.g.doubleclick.net,www.clarity.ms,7
www.facebook.com,us-u.openx.net,7
googleads.g.doubleclick.net,jadserve.postrelease.com,7
pixel.rubiconproject.com,ad.doubleclick.net,7
googleads.g.doubleclick.net,us-u.openx.net,7
px.ads.linkedin.com,cm.everesttech.net,7
px.ads.linkedin.com,jadserve.postrelease.com,7
px.ads.linkedin.com,us-u.openx.net,7
www.googletagmanager.com,c.bing.com,7
www.googletagmanager.com,cm.everesttech.net,7
c.bing.com,id.rlcdn.com,7
c.bing.com,analytics.twitter.com,7
cm.everesttech.net,jadserve.postrelease.com,7
s.clarity.ms,sync.crwdcntrl.net,7
browser.events.data.microsoft.com,cm.everesttech.net,7
s.clarity.ms,us-u.openx.net,7
www.clarity.ms,analytics.twitter.com,7
www.clarity.ms,cm.everesttech.net,7
www.clarity.ms,sync.crwdcntrl.net,7
www.clarity.ms,idsync.rlcdn.com,7
s.clarity.ms,cm.everesttech.net,7
analytics.twitter.com,scripts.clarity.ms,7
analytics.twitter.com,us-u.openx.net,7
analytics.twitter.com,jadserve.postrelease.com,7
analytics.twitter.com,id.rlcdn.com,7
s.clarity.ms,jadserve.postrelease.com,7
s.clarity.ms,idsync.rlcdn.com,7
bat.bing.com,us-u.openx.net,7
px.ads.linkedin.com,browser.events.data.microsoft.com,7
www.clarity.ms,jadserve.postrelease.com,7
analytics.twitter.com,browser.events.data.microsoft.com,7
analytics.twitter.com,s.clarity.ms,7
www.clarity.ms,us-u.openx.net,7
bat.bing.com,stats.g.doubleclick.net,6
px.ads.linkedin.com,www.clarity.ms,6
bat.bing.com,www.google.com.pk,6
www.facebook.com,analytics.google.com,6
analytics.twitter.com,connect.facebook.net,6
www.clarity.ms,id.rlcdn.com,6
play.google.com,analytics.google.com,6
bat.bing.com,jadserve.postrelease.com,6
analytics.google.com,connect.facebook.net,6
px.ads.linkedin.com,scripts.clarity.ms,6
px.ads.linkedin.com,s.clarity.ms,6
www.googletagmanager.com,sync.crwdcntrl.net,6
www.googletagmanager.com,id.rlcdn.com,6
www.facebook.com,www.google.com.pk,6
www.googletagmanager.com,idsync.rlcdn.com,6
bat.bing.com,ad.doubleclick.net,6
cm.everesttech.net,id.rlcdn.com,6
s.clarity.ms,id.rlcdn.com,6
play.google.com,stats.g.doubleclick.net,6
play.google.com,www.google.com.pk,6
bat.bing.com,sync.crwdcntrl.net,6
www.facebook.com,jadserve.postrelease.com,6
