url,top_level_url,is_third_party_channel,resource_type,method,post_body,referrer,request_domain,flagged_by_filter,classification,manual_reason
https://salim.webprivacylab.com/google_server_side_tracker?v=2&tid=G-TEST123&cid=k6e9257g9g&t=pageview&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&dr=&ua=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%3B+rv%3A149.0%29+Gecko%2F20100101+Firefox%2F149.0,https://salim.webprivacylab.com/,,xmlhttprequest,GET,,https://salim.webprivacylab.com/,salim.webprivacylab.com,True,TRACKING_FILTER,contains /track
https://connect.facebook.net/en_US/fbevents.js,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,connect.facebook.net,True,TRACKING_FILTER,
https://www.googletagmanager.com/gtm.js?id=GTM-P528B3,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,www.googletagmanager.com,True,TRACKING_FILTER,
https://www.facebook.com/tr/?id=123997890&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778122608711&sw=1920&sh=1080&v=2.9.313&r=stable&ec=0&o=28&it=1778122608394&coo=false&expv2[0]=pl0&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=im1&expv2[6]=hf1&rqm=GET,https://salim.webprivacylab.com/,,image,GET,,https://salim.webprivacylab.com/,www.facebook.com,True,TRACKING_FILTER,
https://www.facebook.com/tr/?id=434567890&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778122608997&sw=1920&sh=1080&v=2.9.313&r=stable&ec=0&o=28&it=1778122608394&coo=false&expv2[0]=pl0&expv2[1]=el2&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=im1&expv2[6]=hf1&rqm=GET,https://salim.webprivacylab.com/,,image,GET,,https://salim.webprivacylab.com/,www.facebook.com,True,TRACKING_FILTER,
https://www.facebook.com/tr/?id=123456789&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778122609296&sw=1920&sh=1080&v=2.9.313&r=stable&ec=0&o=28&it=1778122608394&coo=false&expv2[0]=pl0&expv2[1]=el2&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=im1&expv2[6]=hf1&rqm=GET,https://salim.webprivacylab.com/,,image,GET,,https://salim.webprivacylab.com/,www.facebook.com,True,TRACKING_FILTER,
https://www.googletagmanager.com/gtm.js?id=GTM-N5P6T9S&gtm=4e6551,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,www.googletagmanager.com,True,TRACKING_FILTER,
https://dd.nytimes.com/tags.js,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,dd.nytimes.com,True,TRACKING_FILTER,
https://sb.scorecardresearch.com/cs/3005403/beacon.js,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,sb.scorecardresearch.com,True,TRACKING_FILTER,beacon request
https://www.facebook.com/tr/?id=4444444444&ev=PageView&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&rl=&if=false&ts=1778122609666&sw=1920&sh=1080&v=2.9.313&r=stable&ec=0&o=28&it=1778122608394&coo=false&expv2[0]=pl0&expv2[1]=el3&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=im1&expv2[6]=hf1&rqm=GET,https://salim.webprivacylab.com/,,image,GET,,https://salim.webprivacylab.com/,www.facebook.com,True,TRACKING_FILTER,
https://sb.scorecardresearch.com/internal-cs/default/beacon.js,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,sb.scorecardresearch.com,True,TRACKING_FILTER,beacon request
